日期,指数涨跌幅(%),浦发银行,民生银行,宝钢股份,中国石化,南方航空,中信证券,招商银行,保利地产,中国联通,上汽集团,复星医药,恒瑞医药,万华化学,华夏幸福,贵州茅台,山东黄金,海螺水泥,绿地控股,青岛海尔,三安光电,伊利股份,大秦铁路,中国神华,兴业银行,北京银行,中国铁建,农业银行,中国平安,交通银行,中国中铁,工商银行,中国太保,中国人寿,中国建筑,华泰证券,中国中车,光大银行,中国石油,中国国旅,建设银行,中国银行,中国重工,PC1,PC2,PC3,PC4,PC5,PC5,PC7
2011/9/30,-8.4,-8.0732,-7.8464,-3.5917,-4.5162,-18.0077,-7.5596,-6.6667,-15.7559,5.1335,3.4304,-9.6618,-6.5595,-6.5217,10.9863,-11.2586,-18.9871,-22.4876,-12.5198,-18.1818,-10.766,-8.2247,-4.5273,-5.974,-7.0518,-5.6237,-8.4388,-5.7471,-17.2775,-5.8824,-7.6433,-3.8647,-10.7625,-7.4702,-3.4286,-3.4884,-11.5686,-4.2208,1.5569,-15.4296,-4.1394,-5,-12.7036,5.91E+00,-9.61E-01,3.54E+00,-8.25E-01,-1.21E+00,-3.94E-03,1.38E-01
2011/10/31,6.23,7.8454,10.6884,3.3333,3.0303,1.2461,6.6667,9.4033,11.4595,6.25,2.2528,5.2406,-0.6882,-5.6568,1.5748,7.1462,-1.0805,17.2093,0.5435,12.5272,-4.7951,14.5902,7.113,6.472,7.3446,9.9675,8.2949,8.9431,15.2219,5.1339,7.5862,8.5427,7.0308,13.365,-0.8876,5.3213,21.5078,2.0339,0.1013,13.7749,9.5455,5.2632,-0.1866,5.37E+00,-1.71E+00,2.99E+00,-5.19E-01,-1.37E+00,-2.15E-01,6.19E-01
2011/11/30,-7.19,-7.709,-5.0736,-8.1594,-0.5602,-11.6923,-10.5,-7.3554,-10.6693,-3.4926,-17.1971,-5.0813,7.2765,-11.7921,0.6645,2.8647,-5.5917,-19.1468,-6.1261,-17.5218,13.5662,5.7701,-2.9948,-5.8933,-8.3459,-7.3892,-8.0851,-5.2239,-8.8418,-4.6709,-8.6538,-3.0093,-8.3881,2.5135,-8.6567,-13.632,-7.1168,-6.3123,-4.251,2.1429,-2.6971,-4,-4.9327,4.36E+00,-2.84E+00,2.32E+00,-4.72E-01,-1.70E+00,-2.12E-01,1.00E+00
2011/12/31,-2.68,-0.1176,1.5517,0.2066,1.1268,-17.4216,-9.5903,5.8876,8.5776,-0.1905,4.5085,-8.5653,-4.9096,-2.568,-11.7162,-7.9787,-21.7906,-3.9877,-11.9002,4.8122,-21.8169,-7.89,0.1342,-0.2363,2.7071,-1.2766,-12.2685,3.1496,-2.3256,-0.2227,-11.5789,1.1933,5.957,2.9772,-4.902,-13.6865,-14.9312,2.1277,2.9598,-8.2867,-3.1983,1.3889,-19.6541,3.93E+00,-2.32E+00,2.53E+00,4.96E-01,-9.31E-01,7.60E-01,1.23E+00
2012/1/31,7.9,8.5984,8.9983,4.9485,8.078,5.9072,10.0927,6.5712,5,-6.8702,6.7185,1.0539,-11.6848,5.969,16.5109,-3.5644,22.8602,10.9904,2.8322,3.1355,3.3852,0.0489,3.2172,6.0008,10.7029,7.7586,7.124,3.0534,11.324,8.0357,3.1746,1.4151,9.3701,6.4626,5.4983,6.5217,6.2356,4.1667,4.8255,-5.7186,5.0661,2.7397,8.4149,1.95E+00,-3.00E+00,3.15E+00,8.08E-01,-1.23E+00,-3.23E-01,-1.56E+00
2012/2/29,4.32,3.4707,2.648,3.5363,-1.8041,5.7769,10.3835,1.7391,5.7143,0.2049,4.5063,7.0684,3,8.5589,17.861,9.683,7.9415,3.2815,11.8644,13.8979,15.3097,12.4755,-1.039,2.7561,3.2468,7.1,9.6059,1.8519,6.4684,3.719,6.1538,3.0233,0,-0.4792,6.5147,7.8031,7.1739,2.6667,3.0362,9.3409,2.3061,2.3333,9.2058,4.43E+00,-1.86E+00,1.24E+00,6.09E-01,7.14E-01,-3.38E+00,-4.47E-02
2012/3/31,-6.42,-6.3941,-4.8558,-9.4877,-5.643,-15.0659,-1.7797,-7.5369,1.7117,-13.4969,-5.9607,-0.1082,-2.0538,-11.9272,-1.8149,-3.6682,-12.9084,-12.0401,-10.9848,-1.9066,-14.3615,-4.1322,-2.231,-7.1765,-6.9182,-8.31,-11.0112,-2.5455,-10.3871,-6.1753,-11.2319,-2.2573,-8.1866,-12.5201,-6.7278,-2.2272,-9.9391,-7.4675,-7.8897,-5.5473,-1.0246,-2.9316,-7.2727,2.77E+00,-3.54E+00,1.49E+00,4.53E+00,-5.74E-01,3.23E+00,-5.50E+00
2012/4/27,6.69,5.3751,6.0606,4.8218,-0.1391,7.5388,12.1657,2.521,10.806,2.3641,3.7087,2.0585,2.8212,8.7488,7.1165,14.013,7.1363,10.7098,125.5319,8.4548,4.9541,1.0525,0.2685,4.998,7.4324,6.11,10.8586,1.4925,11.2903,3.8217,11.4286,0.9238,12.5972,11.2538,10.8197,19.1344,13.0631,6.3158,2.4768,13.2341,-0.8282,2.349,8.3779,2.07E+00,-2.80E+00,1.83E+00,1.58E-01,-2.96E-01,-7.93E-01,-1.03E+00
2012/5/31,-0.65,-6.8013,-4.2105,-3.2,-4.2234,-0.6186,5.9231,-4.4262,9.0328,-5.3118,2.2107,11.1465,6.8619,10.9398,13.0999,5.3972,-2.3342,2.5758,-19.8113,9.2294,25.4371,1.9973,-0.4016,-3.2726,-4.4331,-5.0864,2.0501,-2.9412,2.8986,-3.7072,1.0989,-3.4325,-2.3941,-4.2881,-0.5917,12.0459,-1.7928,-0.7043,-4.8338,-6.2241,-6.263,-0.6557,-1.8891,1.66E+00,-2.70E+00,1.59E+00,5.25E-01,3.61E-01,-8.94E-01,-6.37E-01
2012/6/30,-4.09,-3.8429,-1.2322,-6.8631,-5.6886,-4.3568,-8.2789,-2.8532,1.245,-9.2683,-9.0967,-0.5254,9.9158,-11.6479,4.3253,1.0436,-3.8832,-15.5024,-7.2941,-2.4622,-5.1568,-8.4112,-5.5108,-10.3293,-2.6257,-1.2133,-0.6696,3.1272,9.1907,-1.5184,-6.8841,-1.718,6.3426,6.5835,1.8219,-9.1823,-7.5051,-1.3889,-2.5618,4.4381,-1.2135,-2.0495,-12.0339,4.54E-01,-2.96E+00,-5.08E-02,1.26E+00,-1.54E-01,1.89E-01,8.77E-01
